id;position;date;best_thing;worst_thing;entire_review
1;Employee at Caffe Nero; January 2026;"
Happy that i am working in the field that i am interested in";"
Poor requirements or new hire, rush training (only 2 days), bad communication on field with team while handing shift over, under paid with the amount of work and place that i work in";"
Happy that i am working in the field that i am interested in
Poor requirements or new hire, rush training (only 2 days), bad communication on field with team while handing shift over, under paid with the amount of work and place that i work in"
2;Assistant manager at Caffe Nero; November 2025;"
Customers interactions and coworkers";"
Lazy, unorganised management who can’t take responsibility for any mistakes and disregards team on daily basis.";"
Customers interactions and coworkers
Lazy, unorganised management who can’t take responsibility for any mistakes and disregards team on daily basis."
3;Shift leader at Caffe Nero; July 2025;"
The discounts";"
The team, some people are lazy and if they slack off the whole team gets punished. Company only cares about money. Underpaid and overworked. They do everything to reduce hours so they don’t have to pay us. They don’t care about employees. Area managers are bad at their job. Disciplinary is a punishment they use when something small goes wrong.";"
The discounts
The team, some people are lazy and if they slack off the whole team gets punished. Company only cares about money. Underpaid and overworked. They do everything to reduce hours so they don’t have to pay us. They don’t care about employees. Area managers are bad at their job. Disciplinary is a punishment they use when something small goes wrong."
4;Employee at Caffe Nero; May 2025;"
The regular customers";"
The hours and working bye myself";"
The regular customers
The hours and working bye myself"
5;Employee at Caffe Nero; April 2025;"
Manager was lovley, co workers was okay. The Free drinks on shift if you make it was the only thing that got me through a shift before the football fan came in before a match. Training was amazing I would recommend someone to work here just for the training. It's a great 1st job.";"
Stressfull on busy days and it felt like everyone was kinda depressed i mean so was i. Only really 2 people on shift if your lucky 3-4 but it can be hard getting everything done with just the 2 of you. Customers can be allot but I guess that's just standard for customers service roles. If you took 3 sick days in 3 months you'd be written up";"
Manager was lovley, co workers was okay. The Free drinks on shift if you make it was the only thing that got me through a shift before the football fan came in before a match. Training was amazing I would recommend someone to work here just for the training. It's a great 1st job.
Stressfull on busy days and it felt like everyone was kinda depressed i mean so was i. Only really 2 people on shift if your lucky 3-4 but it can be hard getting everything done with just the 2 of you. Customers can be allot but I guess that's just standard for customers service roles. If you took 3 sick days in 3 months you'd be written up"
6;Employee at Caffe Nero; March 2025;"
the people you work with, the custmors make your day";"
sometimes the manger is stressful but fair";"
the people you work with, the custmors make your day
sometimes the manger is stressful but fair"
7;Employee at Caffe Nero; March 2025;"
the perks and nice people i work with";"
the management style, hour availability and unpaid travel time and breaks";"
the perks and nice people i work with
the management style, hour availability and unpaid travel time and breaks"
8;Shift leader at Caffe Nero; December 2024;"
You learn how to make good coffee.";"
You get 20 minutes for an unpaid break, no break room so you sit in isolation waiting to return to work. This is too short to go somewhere else to buy food so you'll spend your wage in the store you work.

Sometimes you're asked to go home an hour early by the manager to save the store money when it's not busy. They're taking your wage when you do that.

Managers are rude, poorly trained and don't live in the real world. The shout at people for not doing more jobs at once, don't think about looking at a blender as it bends the customers drink.

The Trafford centre store is too hot.

You only get 30 minutes to clean and close the whole store, this is not enough time. If you go over you won't be paid.

Morale is poor because you're working short shifts and having to come in all week.

Days off are random and not together.

Why is a coffee shop open til 10pm anyway?

The store averages L5k sales a day, we know because it's written on the blackboard. This rubs it in the face of everyone working who is always told to up sell to make more money for the store. There is zero commission.

The space to prepare coffee is far too small. It's an accident waiting to happen.

No parking.

I could go on but I won't. Don't work there.";"
You learn how to make good coffee.
You get 20 minutes for an unpaid break, no break room so you sit in isolation waiting to return to work. This is too short to go somewhere else to buy food so you'll spend your wage in the store you work.

Sometimes you're asked to go home an hour early by the manager to save the store money when it's not busy. They're taking your wage when you do that.

Managers are rude, poorly trained and don't live in the real world. The shout at people for not doing more jobs at once, don't think about looking at a blender as it bends the customers drink.

The Trafford centre store is too hot.

You only get 30 minutes to clean and close the whole store, this is not enough time. If you go over you won't be paid.

Morale is poor because you're working short shifts and having to come in all week.

Days off are random and not together.

Why is a coffee shop open til 10pm anyway?

The store averages L5k sales a day, we know because it's written on the blackboard. This rubs it in the face of everyone working who is always told to up sell to make more money for the store. There is zero commission.

The space to prepare coffee is far too small. It's an accident waiting to happen.

No parking.

I could go on but I won't. Don't work there."
9;Assistant manager at Caffe Nero; December 2024;"
Free coffee?? That's probably it";"
Everything else, everyone on the team hates it here and the manager treats us like dirt and doesn't train people, and if you ask for help you get ""I'm not here to baby you"" even if you're new";"
Free coffee?? That's probably it
Everything else, everyone on the team hates it here and the manager treats us like dirt and doesn't train people, and if you ask for help you get ""I'm not here to baby you"" even if you're new"
10;Barista at Caffe Nero; November 2024;"
Getting to leave at the end of the day";"
Long hours, 20 minute unpaid break for a 9.5 hours shift, customers are extremely rude, management will ALWAYS take the customers side, you’ll get written up for literally anything, you will get a disciplinary meeting if you call out 3 times within 3 months, understaffed constantly, they don’t care about you";"
Getting to leave at the end of the day
Long hours, 20 minute unpaid break for a 9.5 hours shift, customers are extremely rude, management will ALWAYS take the customers side, you’ll get written up for literally anything, you will get a disciplinary meeting if you call out 3 times within 3 months, understaffed constantly, they don’t care about you"
